PID,    Name,                                          Type,             Access,         Device,                                                                    Size,
0x8012, OP_CODE_SUBDEVICE_ACCESS,                      OPCODE_TYPE_1_DI, ACCESS_TYPE_GS, OPCODE_DEVICE_F,                                                              4,
0x8053, OP_CODE_RESTORE_SUBDEVICE,                     OPCODE_TYPE_1_DI, ACCESS_TYPE_SO, OPCODE_DEVICE_F,                                                              4,
0x8015, OP_CODE_NETWORK_STATISTICS,                    OPCODE_TYPE_1_DI, ACCESS_TYPE_GS, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE,                                       28,
0x803A, OP_CODE_SETTINGS_HASH,                         OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE,                                        8,
0x8204, OP_CODE_DEVICE_MODE,                           OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE,                                        1,
0x8209, OP_CODE_SESSION_SHUTDOWN_STATISTICS,           OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          2,
0x820A, OP_CODE_LIFETIME_SHUTDOWN_STATISTICS,          OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          6,
0x8220, OP_CODE_NODE_INPUT_VOLTAGE,                    OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE,                                        2,
0x8210, OP_CODE_LED_STRING_OPEN,                       OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_DLE,                                                            1,
0x8211, OP_CODE_LED_STRING_OPEN_TIME,                  OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_DLE,                                                            4,
0x8212, OP_CODE_LED_STRING_SHORTED,                    OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_DLE,                                                            1,
0x8213, OP_CODE_LED_STRING_SHORTED_TIME,               OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_DLE,                                                            4,
0x8221, OP_CODE_NODE_INPUT_VOLTAGE_SESSION_STATISTICS, OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE,                                        8,
0x8222, OP_CODE_LED_RAIL_VOLTAGE,                      OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE,                                        6,
0x8223, OP_CODE_LED_RAIL_VOLTAGE_SESSION_STATISTICS,   OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE,                                       16,
0x00C1, OP_CODE_BOOTLOADER_VERSION,                    OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE | OPCODE_DEVICE_F | OPCODE_DEVICE_F_P,  4,
0x8060, OP_CODE_SERIAL_NUMBER,                         OPCODE_TYPE_1_DI, ACCESS_TYPE_GS, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE | OPCODE_DEVICE_F | OPCODE_DEVICE_F_P,  6,
0x809A, OP_CODE_LED_OPTIBIN_CODE,                      OPCODE_TYPE_1_DI, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE,                                                            2,
0x80C0, OP_CODE_SFT_VERSION,                           OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                      4,
0x8405, OP_CODE_RESET_STATISTICS,                      OPCODE_TYPE_1_DI, ACCESS_TYPE_GS, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE,                                        8,
0x8400, OP_CODE_OPERATING_TIME,                        OPCODE_TYPE_1_DI, ACCESS_TYPE_GS, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE | OPCODE_DEVICE_F | OPCODE_DEVICE_F_P,  4,
0x8401, OP_CODE_POWER_ON_TIME,                         OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE,                                        4,
0x8402, OP_CODE_SESSION_START_TIME,                    OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE,                                        4,
0x8406, OP_CODE_POWER_ON_COUNT,                        OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE,                                        4,
0x9C20, OP_CODE_TEMPERATURE_COMPENSATION_SLOPE,        OPCODE_TYPE_1_DI, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE,                                                           30,
0x9C71, OP_CODE_TEMPERATURE_COMPENSATION_SLOPE_COEF_A, OPCODE_TYPE_1_DI, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE,                                                           31,
0x9C72, OP_CODE_TEMPERATURE_COMPENSATION_SLOPE_COEF_B, OPCODE_TYPE_1_DI, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE,                                                           31,
0x9C73, OP_CODE_TEMPERATURE_COMPENSATION_SLOPE_COEF_C, OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_DLE,                                                           31,
0x9C74, OP_CODE_CHROMASYNC_CURRENT_SLOPE_COEF_A,       OPCODE_TYPE_1_DI, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE,                                                           31,
0x9C75, OP_CODE_CHROMASYNC_CURRENT_SLOPE_COEF_B,       OPCODE_TYPE_1_DI, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE,                                                           31,
